order_id,order_timestamp,origin_region,destination_region,carrier,product_category,weight_kg,unit_margin_usd,order_value_usd,warehouse_receipt_time,pack_complete_time,ship_time,scheduled_delivery_date,actual_delivery_date,return_flag,is_unresolved_shipment,Time_to_Pack_Hours,Transit_Days_Scheduled,Delivery_Variance_Days,Order_to_Ship_Hours,Carrier_Route,distance_factor,Estimated_Shipping_Cost_USD,SLA_Status,Margin_Tier
ORD-101977,2024-01-12 20:33:00,West,South,Express,Beauty,0.26,11.0,32.11,2024-01-12 21:55:00,2024-01-13 04:31:53.501630814,2024-01-13 07:01:53.501630814,2024-01-15 07:01:53.501630814,2024-01-15 04:16:13.815467669,False,False,6.61,2.0,-0.12,10.48,Express | West -> South,2.0,4.06,On-Time,Mid Margin ($10-20)
ORD-103880,2024-01-08 08:29:00,South,Northeast,Standard,Apparel,0.32,14.0,74.36,2024-01-08 09:52:00,2024-01-08 13:33:32.517573892,2024-01-08 16:23:32.517573892,2024-01-13 16:23:32.517573892,2024-01-16 17:53:06.770094397,False,False,3.69,5.0,3.06,7.91,Standard | South -> Northeast,1.4,1.88,3-5 Days Late,Mid Margin ($10-20)
ORD-100052,2024-11-15 06:53:00,Midwest,Southwest,Standard,Beauty,0.05,11.0,21.88,2024-11-15 07:55:00,2024-11-15 11:45:24.205338632,2024-11-15 14:29:24.205338632,2024-11-20 14:29:24.205338632,2024-11-21 13:47:36.079302742,False,False,3.84,5.0,0.97,7.61,Standard | Midwest -> Southwest,1.5,0.32,1-2 Days Late,Mid Margin ($10-20)
ORD-102551,2024-03-24 12:23:00,South,Midwest,Standard,Toys,0.98,9.0,36.5,2024-03-24 13:06:00,2024-03-24 19:42:05.134488433,2024-03-24 22:08:05.134488433,2024-03-29 22:08:05.134488433,2024-03-28 20:48:57.822037913,True,False,6.6,5.0,-1.05,9.75,Standard | South -> Midwest,1.1,4.53,On-Time,Low Margin (<$10)
ORD-102246,2024-08-19 22:37:00,West,Southwest,Standard,Sports,6.39,17.0,89.19,2024-08-19 23:08:00,2024-08-20 01:59:18.893387599,2024-08-20 04:32:18.893387599,2024-08-25 04:32:18.893387599,2024-08-25 08:40:11.405722515,False,False,2.86,5.0,0.17,5.92,Standard | West -> Southwest,1.0,26.84,1-2 Days Late,Mid Margin ($10-20)
ORD-100270,2024-01-13 13:10:00,South,South,Standard,Beauty,0.3,11.0,32.75,2024-01-13 13:51:00,2024-01-13 16:47:40.219028991,2024-01-13 17:41:40.219028991,2024-01-18 17:41:40.219028991,2024-01-18 12:56:34.838310678,False,False,2.94,5.0,-0.2,4.53,Standard | South -> South,0.5,0.63,On-Time,Mid Margin ($10-20)
ORD-100601,2024-12-20 16:16:00,Midwest,Midwest,Standard,Beauty,0.24,11.0,23.9,2024-12-20 17:40:00,2024-12-21 05:54:08.225906791,2024-12-21 07:22:08.225906791,2024-12-26 07:22:08.225906791,2024-12-25 19:37:42.874280326,False,False,12.24,5.0,-0.49,15.1,Standard | Midwest -> Midwest,0.5,0.5,On-Time,Mid Margin ($10-20)
ORD-102441,2024-10-13 16:11:00,West,South,Standard,Books,0.38,4.0,15.4,2024-10-13 17:06:00,2024-10-13 19:35:00.881897946,2024-10-13 23:19:00.881897946,2024-10-18 23:19:00.881897946,2024-10-19 23:02:18.086671786,False,False,2.48,5.0,0.99,7.13,Standard | West -> South,2.0,3.19,1-2 Days Late,Low Margin (<$10)
ORD-103286,2024-12-02 20:57:00,Southwest,Southwest,Standard,Electronics,0.59,38.0,162.11,2024-12-02 21:31:00,2024-12-03 03:49:38.985640556,2024-12-03 04:43:38.985640556,2024-12-08 04:43:38.985640556,2024-12-08 22:09:49.316176782,False,False,6.31,5.0,0.73,7.78,Standard | Southwest -> Southwest,0.4,0.99,1-2 Days Late,High Margin ($20+)
ORD-102967,2024-06-17 04:28:00,Midwest,West,Express,Toys,0.62,9.0,41.51,2024-06-17 04:49:00,2024-06-17 05:55:46.438769566,2024-06-17 07:38:46.438769566,2024-06-19 07:38:46.438769566,2024-06-18 19:52:04.584273075,False,False,1.11,2.0,-0.49,3.18,Express | Midwest -> West,1.8,8.7,On-Time,Low Margin (<$10)
ORD-104712,2024-03-15 13:17:00,West,South,Standard,Apparel,0.72,14.0,43.15,2024-03-15 14:23:00,2024-03-15 19:24:43.331580588,2024-03-15 21:16:43.331580588,2024-03-20 21:16:43.331580588,2024-03-19 20:09:29.341660221,False,False,5.03,5.0,-1.05,8.0,Standard | West -> South,2.0,6.05,On-Time,Mid Margin ($10-20)
ORD-109032,2024-05-06 19:51:00,West,Northeast,Express,Electronics,4.24,38.0,268.1,2024-05-06 20:42:00,2024-05-07 00:28:49.652677336,2024-05-07 01:34:49.652677336,2024-05-09 01:34:49.652677336,2024-05-08 02:25:40.517593105,False,False,3.78,2.0,-0.96,5.73,Express | West -> Northeast,2.9,95.91,On-Time,High Margin ($20+)
ORD-101787,2024-06-25 14:31:00,West,Southwest,Express,Apparel,0.32,14.0,38.97,2024-06-25 15:20:00,2024-06-25 17:51:06.912335830,2024-06-25 19:32:06.912335830,2024-06-27 19:32:06.912335830,2024-06-27 16:35:19.219873924,False,False,2.52,2.0,-0.12,5.02,Express | West -> Southwest,1.0,2.5,On-Time,Mid Margin ($10-20)
